AST2500_PCIE_RSTN	B12	BMC_PCIE reset
D2000_GPIO0_A5	P6	D2000_GPIO0_A5
D2000_GPIO0_A6	N6	D2000_GPIO0_A6
D2000_GPIO0_A7	R7	D2000_GPIO0_A7
D2000_I2C1_SCL	N8	D2000_I2C1_SCL
D2000_I2C1_SDA	T14	D2000_I2C1_SDA
D2000_LPC_IRQ_N	T7	D2000_LPC_IRQ_N
D2000_LPC_LAD0	T3	D2000_LPC_LAD0
D2000_LPC_LAD1	T8	D2000_LPC_LAD1
D2000_LPC_LAD2	T10	D2000_LPC_LAD2
D2000_LPC_LAD3	T11	D2000_LPC_LAD3
D2000_LPC_LDRQ_N	R9	D2000_LPC_LDRQ_N
D2000_LPC_LFRAME_N	T9	D2000_LPC_LFRAME_N
D2000_LPC_RST_N	T5	D2000_LPC_RST_N
D2000_PCIE0_LINK0	M6	D2000_PCIE0_LINK0
D2000_PCIE0_LINK1	P8	D2000_PCIE0_LINK1
D2000_PCIE0_LINK2	R8	D2000_PCIE0_LINK2
D2000_PLL_LOCK	M8	D2000_PLL_LOCK
D2000_PWR_CTR0	P7	PWR_CTR[1:0]充当软件关机、重启、S3_OK_Clear 功能的引脚
D2000_PWR_CTR1	N7	PWR_CTR[1:0]充当软件关机、重启、S3_OK_Clear 功能的引脚
D2000_PWR_CTRL	P13	FPGA发出的D2000_PWR_CTRL信号
D2000_RST_OK	P10	D2000_RST_OK
D2000_SPI0_CS0_N	P5	D2000_SPI0_CS0_N
D2000_SPI0_MISO	R6	D2000_SPI0_MISO
D2000_SPI0_MOSI	R5	D2000_SPI0_MOSI
D2000_SPI0_SCK	L7	D2000_SPI0_SCK
D2000_UART0_RXD	R4	D2000_UART0_RXD
D2000_UART0_TXD	T6	D2000_UART0_TXD
D2V0_VCCAUX_IO_EN	E7	D2V0_VCCAUX_IO_EN
D2V0_VCCAUX_IO_PG	E8	D2V0_VCCAUX_IO_PG
D2V5_D2000_DDR4_VPP_EN	N2	D2V5_D2000_DDR4_VPP_EN
D2V5_D2000_DDR4_VPP_PG	P1	D2V5_D2000_DDR4_VPP_PG
D5V_EN	A10	D5V_EN
D5V_PG	B9	D5V_PG
FAN0_FG2	A11	FAN0_FG2
FAN0_PWM	A9	FAN0_PWM
FAN1_FG2	D7	FAN1_FG2
FAN1_PWM	D6	FAN1_PWM
FATAL_ERR#	N15	PEX8748 致命错误输出信号
FPGA_DDR_VDD_EN	E10	FPGA_DDR_VDD_EN
FPGA_DDR_VDD_PG	C9	FPGA_DDR_VDD_PG
FPGA_DDR_VTT_EN	L2	FPGA_DDR_VTT_EN
FPGA_DDR_VTT_PG	L1	FPGA_DDR_VTT_PG
FPGA_VCCINT_EN#	E9	FPGA_VCCINT_EN#
FPGA0_CPLD_GPIO0	M14	FPGA0_CPLD_GPIO0
FPGA0_CPLD_GPIO1	N14	FPGA0_CPLD_GPIO1
FPGA0_CPLD_GPIO2	R12	FPGA0_CPLD_GPIO2
FPGA0_CPLD_GPIO3	R13	FPGA0_CPLD_GPIO3
FPGA1_CPLD_GPIO0	M11	FPGA1_CPLD_GPIO0
FPGA1_CPLD_GPIO1	P11	FPGA1_CPLD_GPIO1
FPGA1_CPLD_GPIO2	M10	FPGA1_CPLD_GPIO2
FPGA1_CPLD_GPIO3	R11	FPGA1_CPLD_GPIO3
FPGA1_PROGRAM_B	R14	FPGA1_PROGRAM_B
M2_PCIE_RST	M1	M.2固态盘复位
CPLD INIT_N	A13	CPLD INIT_N
CPLD JTAG EN	C10	CPLD JTAG EN
D2000_UART1_TXD	T2	D2000_UART1_TXD
FPGA0_PROGRAM_B	T15	FPGA0_PROGRAM_B
D2000_UART1_RXD	R3	D2000_UART1_RXD
P1V8_EN	D8	P1V8_EN
P3V3_EN	F1	P3V3_EN
PCIE_WAKE#	C1	PCIE_WAKE#
PE_RST_82	B6	给ASM1182e的复位信号
PE_RST_OUT_82	A3	ASM1182e 复位输出信号
PROGRAM_B	R16	板卡面板PROGRAM_B按钮输入信号
PWRGD	A4	板卡PWRGD指示信号
RST_D2000_POR_N	L8	CPU上电复位信号
USB_PCIE_RST_N	B4	USB_PCIE_RST_N
USB_PCIE_WAKE#	C5	USB_PCIE_WAKE#
VDD0V8_EN	G2	VDD0V8_EN
VDD0V8_PG	E2	VDD0V8_PG
YT8521_RESET_N	A15	YT8521_RESET_N
		
		
		
		
